Dato,Lufttrykk (hPa)
2023-01-01,1005.7
2023-01-02,1010.8
2023-01-03,1019.6
2023-01-04,1008.7
2023-01-05,1015.3
2023-01-06,1012.5
2023-01-07,1006.7
2023-01-08,995.9
2023-01-09,995.7
2023-01-10,1002.8
2023-01-11,991.1
2023-01-12,990.9
2023-01-13,988.3
2023-01-14,993.6
2023-01-15,974.1
2023-01-16,983.4
2023-01-17,982.3
2023-01-18,986.2
2023-01-19,998.9
2023-01-20,1017.7
2023-01-21,1036.7
2023-01-22,1039.4
2023-01-23,1035.8
2023-01-24,1029.7
2023-01-25,1017.4
2023-01-26,1025.6
2023-01-27,1027.1
2023-01-28,1016.4
2023-01-29,999.1
2023-01-30,989.6
2023-01-31,996.3
2023-02-01,995.3
2023-02-02,1013.8
2023-02-03,1016.0
2023-02-04,1036.6
2023-02-05,1033.3
2023-02-06,1036.5
2023-02-07,1031.6
2023-02-08,1027.0
2023-02-09,1009.2
2023-02-10,1012.9
2023-02-11,1016.2
2023-02-12,1025.6
2023-02-13,1028.5
2023-02-14,1030.9
2023-02-15,1021.2
2023-02-16,1010.7
2023-02-17,991.8
2023-02-18,1001.9
2023-02-19,1009.2
2023-02-20,989.7
2023-02-21,1008.3
2023-02-22,1015.7
2023-02-23,1007.7
2023-02-24,998.2
2023-02-25,1012.1
2023-02-26,1024.4
2023-02-27,1030.0
2023-02-28,1030.9
2023-03-01,1030.7
2023-03-02,1024.7
2023-03-03,1015.2
2023-03-04,1014.4
2023-03-05,1006.0
2023-03-06,999.7
2023-03-07,991.6
2023-03-08,992.5
2023-03-09,994.9
2023-03-10,999.3
2023-03-11,998.0
2023-03-12,1001.2
2023-03-13,979.7
2023-03-14,982.7
2023-03-15,1003.3
2023-03-16,1017.1
2023-03-17,1006.4
2023-03-18,1007.8
2023-03-19,1011.9
2023-03-20,1008.5
2023-03-21,1009.2
2023-03-22,993.8
2023-03-23,990.7
2023-03-24,988.1
2023-03-25,992.9
2023-03-26,1003.8
2023-03-27,1011.5
2023-03-28,1017.3
2023-03-29,1012.9
2023-03-30,1008.4
2023-03-31,1006.2
2023-04-01,1016.1
2023-04-02,1030.2
2023-04-03,1034.2
2023-04-04,1028.7
2023-04-05,1024.3
2023-04-06,1023.5
2023-04-07,1028.9
2023-04-08,1032.0
2023-04-09,1029.1
2023-04-10,1020.3
2023-04-11,1004.9
2023-04-12,1006.1
2023-04-13,1006.3
2023-04-14,1016.7
2023-04-15,1023.0
2023-04-16,1027.4
2023-04-17,1033.4
2023-04-18,1038.5
2023-04-19,1036.6
2023-04-20,1031.5
2023-04-21,1024.0
2023-04-22,1011.6
2023-04-23,1002.1
2023-04-24,1000.9
2023-04-25,999.9
2023-04-26,1003.9
2023-04-27,1009.6
2023-04-28,1015.4
2023-04-29,1009.3
2023-04-30,1015.1
2023-05-01,1010.2
2023-05-02,1015.9
2023-05-03,1025.3
2023-05-04,1030.6
2023-05-05,1030.1
2023-05-06,1028.1
2023-05-07,1027.8
2023-05-08,1026.7
2023-05-09,1018.2
2023-05-10,1014.6
2023-05-11,1019.3
2023-05-12,1024.2
2023-05-13,1024.4
2023-05-14,1020.3
2023-05-15,1012.3
2023-05-16,1006.5
2023-05-17,1014.3
2023-05-18,1025.8
2023-05-19,1028.9
2023-05-20,1029.3
2023-05-21,1025.0
2023-05-22,1019.8
2023-05-23,1013.8
2023-05-24,1015.9
2023-05-25,1019.8
2023-05-26,1023.1
2023-05-27,1020.3
2023-05-28,1015.9
2023-05-29,1021.1
2023-05-30,1023.7
2023-05-31,1017.7
2023-06-01,1019.6
2023-06-02,1023.7
2023-06-03,1020.1
2023-06-04,1020.9
2023-06-05,1018.7
2023-06-06,1017.8
2023-06-07,1018.3
2023-06-08,1018.8
2023-06-09,1024.1
2023-06-10,1026.9
2023-06-11,1025.9
2023-06-12,1023.2
2023-06-13,1020.7
2023-06-14,1020.9
2023-06-15,1018.7
2023-06-16,1015.2
2023-06-17,1014.1
2023-06-18,1015.9
2023-06-19,1014.0
2023-06-20,1014.8
2023-06-21,1011.2
2023-06-22,1012.1
2023-06-23,1014.9
2023-06-24,1018.0
2023-06-25,1017.5
2023-06-26,1010.0
2023-06-27,1007.4
2023-06-28,1010.9
2023-06-29,1007.6
2023-06-30,1000.1
2023-07-01,995.7
2023-07-02,988.3
2023-07-03,988.3
2023-07-04,995.0
2023-07-05,1005.5
2023-07-06,1006.2
2023-07-07,1015.6
2023-07-08,1021.0
2023-07-09,1020.9
2023-07-10,1016.1
2023-07-11,1011.0
2023-07-12,1003.4
2023-07-13,1003.0
2023-07-14,1008.9
2023-07-15,1008.1
2023-07-16,1000.1
2023-07-17,1001.9
2023-07-18,1005.4
2023-07-19,1003.7
2023-07-20,1001.5
2023-07-21,1002.5
2023-07-22,1003.7
2023-07-23,1003.4
2023-07-24,997.6
2023-07-25,992.2
2023-07-26,998.1
2023-07-27,1001.1
2023-07-28,1002.7
2023-07-29,1001.9
2023-07-30,1000.2
2023-07-31,1000.0
2023-08-01,994.8
2023-08-02,992.9
2023-08-03,994.5
2023-08-04,1002.4
2023-08-05,1008.4
2023-08-06,1010.0
2023-08-07,993.6
2023-08-08,982.6
2023-08-09,998.0
2023-08-10,1010.5
2023-08-11,1014.4
2023-08-12,1012.3
2023-08-13,1010.5
2023-08-14,1013.3
2023-08-15,1012.7
2023-08-16,1015.0
2023-08-17,1024.7
2023-08-18,1026.7
2023-08-19,1023.2
2023-08-20,1017.0
2023-08-21,1013.9
2023-08-22,1013.3
2023-08-23,1011.3
2023-08-24,1011.8
2023-08-25,1008.8
2023-08-26,1006.9
2023-08-27,1001.9
2023-08-28,1004.2
2023-08-29,1005.9
2023-08-30,1006.1
2023-08-31,1006.4
2023-09-01,1009.0
2023-09-02,1014.5
2023-09-03,1017.9
2023-09-04,1017.9
2023-09-05,1016.6
2023-09-06,1025.8
2023-09-07,1025.2
2023-09-08,1021.1
2023-09-09,1016.4
2023-09-10,1014.0
2023-09-11,1009.0
2023-09-12,1007.5
2023-09-13,1016.2
2023-09-14,1020.3
2023-09-15,1018.4
2023-09-16,1017.7
2023-09-17,1021.4
2023-09-18,1008.1
2023-09-19,989.3
2023-09-20,994.5
2023-09-21,995.8
2023-09-22,995.7
2023-09-23,1003.3
2023-09-24,1016.4
2023-09-25,1016.8
2023-09-26,1020.7
2023-09-27,1016.4
2023-09-28,1011.8
2023-09-29,1007.3
2023-09-30,1008.6
2023-10-01,1014.3
2023-10-02,1010.0
2023-10-03,1002.1
2023-10-04,1003.3
2023-10-05,1011.5
2023-10-06,1000.1
2023-10-07,1011.6
2023-10-08,1021.9
2023-10-09,1016.1
2023-10-10,1005.5
